,Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance,Property,Well Name,Lease Type,ULSTR,OCD Unit Letter,API,Well Type,Last Prod/Inj,Inactive Additional Bond Due,Bonding Depth,Required Bond Amount,Bond Required Now,Covered By Blanket TA Bond,Bond In Place,In Violation
0,308397,"06 SWD, LLC",1.0,0.0,Yes,313505.0,STATE AK SWD #001,S,N-10-11S-33E,N,30-025-21800,S,10/2019,11/2021,10200.0,45400.0,,,15200.0,
1,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,322872.0,BEAR CUB SWD #001,S,H-36-19S-28E,H,30-015-45443,S,,,14000.0,53000.0,,,0.0,
2,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,322865.0,BEAR TRACKER SWD #001,S,D-16-26S-27E,D,30-015-45435,S,,,15150.0,55300.0,,,0.0,
3,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,326059.0,BERRY SWD #001,P,I-35-20S-34E,I,30-025-41703,S,07/2020,08/2022,7062.0,39124.0,,,0.0,
4,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,327186.0,DOODLE BUG STATE SWD #001,S,G-16-22S-33E,G,30-025-44144,S,,,17200.0,59400.0,,,0.0,
5,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,321564.0,FOUNDATION MINERALS FEE SWD #001,P,L-04-24S-27E,L,30-015-45047,S,,,14095.0,53190.0,,,0.0,
6,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,322295.0,GILLOCK BROWN SWD #001,P,C-33-22S-26E,C,30-015-45219,S,,,13345.0,51690.0,,,0.0,
7,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,321563.0,HOOD FEE SWD #001,P,H-10-24S-26E,H,30-015-45046,S,,,16712.0,58424.0,,,0.0,
8,372603,"3BEAR FIELD SERVICES, LLC",15.0,0.0,Yes,328887.0,LOMBARD STATE SWD #001,S,12-06-21S-33E,D,30-025-47424,S,,,17000.0,59000.0,,,0.0,
9,269267,801 LLC,5.0,0.0,Yes,322785.0,STATE A #005,S,O-05-19S-28E,O,30-015-02186,O,03/2020,04/2022,99999.0,224998.0,,,0.0,
10,269267,801 LLC,5.0,0.0,Yes,322781.0,STATE B #001,S,K-05-19S-28E,K,30-015-02183,O,03/2020,04/2022,99999.0,224998.0,,,0.0,
11,269267,801 LLC,5.0,0.0,Yes,,STATE B #004,S,K-05-19S-28E,K,30-015-02182,O,03/2020,04/2022,99999.0,224998.0,,,0.0,
12,269267,801 LLC,5.0,0.0,Yes,322783.0,STATE C #003,S,F-05-19S-28E,F,30-015-02185,O,03/2020,04/2022,99999.0,224998.0,,,0.0,
13,371762,"ABO EMPIRE, LLC",5.0,2.0,Yes,317191.0,LOIS MAE STATE #001,S,K-27-17S-28E,K,30-015-01580,O,05/2019,06/2021,2137.0,29274.0,,,0.0,
14,371762,"ABO EMPIRE, LLC",5.0,2.0,Yes,,LOIS MAE STATE #002,S,K-27-17S-28E,K,30-015-21975,O,05/2019,06/2021,903.0,26806.0,,,0.0,
15,371762,"ABO EMPIRE, LLC",5.0,2.0,Yes,326153.0,PENASCO #001,P,O-20-18S-25E,O,30-015-22077,G,09/2019,10/2021,99999.0,224998.0,,,0.0,
16,184,ACOMA OIL CORP,3.0,1.0,Yes,29.0,S J SARKEYS A #001,P,A-26-21S-37E,A,30-025-21278,O,07/2020,08/2022,7290.0,39580.0,,,39580.0,
17,184,ACOMA OIL CORP,3.0,1.0,Yes,30.0,S J SARKEYS B #001,P,B-26-21S-37E,B,30-025-06785,G,04/2016,05/2018,6551.0,38102.0,Y,,38102.0,
18,184,ACOMA OIL CORP,3.0,1.0,Yes,,S J SARKEYS B #002,P,B-26-21S-37E,B,30-025-21920,O,07/2020,08/2022,7299.0,39598.0,,,39598.0,
19,289660,"ADDINGTON, LLC",2.0,0.0,Yes,310140.0,ATLANTIC A STATE #001,S,E-12-17S-28E,E,30-015-01357,O,03/2020,04/2022,1685.0,28370.0,,,6685.0,
20,289660,"ADDINGTON, LLC",2.0,0.0,Yes,,ATLANTIC A STATE #002,S,F-12-17S-28E,F,30-015-01358,O,03/2020,04/2022,1750.0,28500.0,,,6750.0,
21,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319595.0,ABE #001,S,O-28-21S-33E,O,30-025-33061,O,06/2020,07/2022,15100.0,55200.0,,,0.0,
22,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,322148.0,AO 6 #502H,S,P-06-22S-33E,P,30-025-45012,O,06/2020,07/2022,10771.0,46542.0,,,0.0,
23,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319596.0,AO 6 STATE COM #001H,S,I-06-22S-33E,I,30-025-40519,O,06/2020,07/2022,10922.0,46844.0,,,0.0,
24,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,,AO 6 STATE COM #501H,S,P-06-22S-33E,P,30-025-45026,O,06/2020,07/2022,10637.0,46274.0,,,0.0,
25,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319597.0,COOP 6 STATE #002H,S,H-06-22S-33E,H,30-025-41981,O,06/2020,07/2022,10833.0,46666.0,,,0.0,
26,372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86.0,2.0,Yes,319598.0,COOP 6 STATE COM #001H,S,1-06-22S-33E,A,30-025-41177,O,06/2020,07/2022,10884.0,46768.0,,,0.0,
