Ogrid,Name,Well Count,Inactive Wells,5.9 Compliance
294107,"06 SWD, LLC",,,
308397,"06 SWD, LLC",1,0,Yes
196766,0XY USA WTP LIMITED PARTNERSHIP,,,
122599,2 C SLASH RANCH,,,
37576,21ST CENTURY INVESTMENT CORP,,,
279011,"22 BAR, LLC",,,
309970,24/7 OILFIELD SERVICES LLC,,,
328496,3 BROTHERS TRANSPORT LLC,,,
373644,3 Knights Operating LLC,7,2,Yes
145403,3-D EXPLOR. PTN II & MARBOB ENERGY CORP.,,,
276577,"3-K OIL AND GAS SERVICES, LLC",,,
25635,3-M ENERGY CORP.,,,
372603,"3BEAR FIELD SERVICES, LLC",15,0,Yes
297701,3J TRUCKING LLC,,,
294734,3RD ROCK ENERGY SERVICES LLC,,,
142072,3TEC ENERGY CORPORATION,,,
372025,4 B SERVICES LLC,,,
372640,"4J ENERGY, LLC",,,
371468,50-50 BACKHOE SERVICE LLC,,,
270120,550 WATER SERVICES LLC,,,
269267,801 LLC,5,0,Yes
328334,90-NINE TRUCKING LLC,,,
291453,A & D HOTSHOTS LLC,,,
330083,A & RJ OILFIELD SERVICES LLC,,,
28,A A OILFIELD SERVICE INC,,,
373531,"A BAR N TRUCKING, LLC",,,
59,A F ROBERTS JR,,,
370118,A G TRANSPORT LLC,,,
75,A L DAUGHERTY,,,
93,A P A DEVELOPMENT CORP,,,
370317,"A-PLUS WELL SERVICE, INC.",,,
187253,A. N. SPANEL - W. O. HEINZE,,,
138426,A.C.T. OPERATING COMPANY,,,
330001,AAA WELL SERVICE LLC,,,
289983,AARON SHORTY DBA ROCK SPRING TRANSPORT,,,
294566,"ABADIE & SCHILL, P.C.",,,
198865,ABBOTT BROTHERS,,,
191518,ABBOTT BROTHERS RATHOLE SERVICE,,,
135,ABBOTT VENTURES,,,
371762,"ABO EMPIRE, LLC",5,2,Yes
325875,"ABO EMPIRE, LLC.",,,
15834,ABO GAS GATHERING INC,,,
40209,ABO PETROLEUM CORP,,,
269680,ABRAHAM P GARCIA,,,
152,ABRAXAS PRODUCTION CORP,,,
260273,AC & COMPANY DBA AC TRUCKING,,,
280152,"AC & COMPANY, LLC",,,
370687,AC LONESTAR SERVICES LLC,,,
250274,"ACD OILFIELD SERVICES, LLC",,,
371631,"ACE GATHERING, INC.",,,
247052,"ACE TRUCKING, LLC",,,
168,ACECO PETROLEUM CO,,,
151874,ACEITE INC,,,
25668,ACHEN OIL & GAS INC.,,,
197273,ACKERMAN,,,
196813,ACME OIL CO,,,
184,ACOMA OIL CORP,3,1,Yes
370339,"ACTION FRAC FLUIDS, LLC",,,
25872,ACTION OIL CO INC,7,5,No
149410,ADA CRUDE OIL COMPANY,,,
167710,"ADAIR INTERNATIONAL OIL & GAS, INC.",,,
214,ADAMS OIL & GAS PRODUCERS,,,
289660,"ADDINGTON, LLC",2,0,Yes
287074,"ADL ENTERPRISES, LLC",,,
229,ADMIRAL CRUDE OIL CORPORATION,,,
165165,ADOBE ASSOCIATES,,,
145579,ADOBE OIL & GAS CORP,,,
258,ADOBE RESOURCES CORP,,,
713875,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",,,
372417,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",86,2,Yes
371992,"ADVANCE ENERGY PARTNERS, LLC",,,
124476,ADVANCED DOWNHOLE INC,,,
36979,ADVANCED EXPL INC,,,
371710,"ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",166,6,No
134934,ADVANTAGE PUMPING SERVICE,,,
291024,"ADVENTURE EXPLORATION PARTNERS II, LLC",,,
257568,"ADVENTURE EXPLORATION PARTNERS, LLC",,,
147674,AEC CORPORATION,,,
372363,"AFM OILFIELD SERVICE, LLC",,,
217267,AGAVE ENERGY COMPANY,,,
310730,AGAVE TRANSPORTATION SERVICES INC,,,
184357,AGHORN OPERATING INC,1,1,No
267,AGUA INC,,,
330050,AGUA LIBRE MIDSTREAM LLC,,,
247130,"AGUA MOSS, LLC",2,0,Yes
265779,AGUA SUCIA LLC,,,
276,AH-VAL ASSOCIATES,,,
195431,AIR LIQUIDE AMERICAN CORP,,,
141930,AIRCO CO2,,,
374085,"Airgas USA, LLC",,,
370794,AJ'S SERVICES LLC,,,
30085,ALADDIN PETROLEUM CORP,,,
274841,"ALAMO PERMIAN RESOURCES, LLC",,,
296256,"ALAMO PERMIAN RESOURCES, LLC",,,
300365,ALAN RITCHEY INC,,,
324,ALBERT GACKLE,,,
68589,ALBERT GALLEGOS,,,
292517,ALBERTO CHAVEZ DBA HERITAGE OILFIELD SERVICES,,,
191778,ALBUQUERQUE RESINS INC,,,
237850,"ALEANNA RESOURCES, LLC",,,
288913,ALEJANDRO ALVARADO-LUCERO DBA A&L TRUCKING,,,
250423,ALEJO & REBECCA MADRID DBA MADRIDS TRUCKING,,,
355,ALEX N CAMPBELL,,,
362,ALEXANDER ENERGY CORP,,,
287977,ALFONSO VALENZUELA DBA AV TRANSPORT SERVICES,,,
287063,"ALFREDO'S TRUCKING & BACKHOE SERVICE, INC.",,,
229165,"ALGERITA ENERGY, LLC",,,
278992,ALICIA MORALES DBA ALFA & OMEGA TRUCKING,,,
279639,ALL IN OILFIELD SERVICES LLC,,,
114922,ALLEN K TROBAUGH,,,
390,ALLEN K TROBAUGH,,,
401,ALLEN N DANIELS,,,
191653,ALLEN ONEIL,,,
213783,ALLEN ORION,,,
415,ALLIANCE CORP,,,
274373,"ALLIANCE TRUCKING, LLC",,,
26384,ALLIED CHEMICAL CORP,,,
328468,"Ally Energy, LLC",,,
198925,ALPHA 21 PRODUCTION CO,,,
312917,"ALPHA CRUDE CONNECTOR, LLC",,,
372180,ALPHA SWD OPERATING LLC,,,
448,ALPINE OIL & GAS CORP,,,
197128,ALTA ENERGY CORPORATION,,,
295752,"ALTA MESA SERVICES, LP",1,0,Yes
287089,"ALTOM TRANSPORT, INC.",,,
162821,ALTURA ENERGY LTD.,,,
305812,"ALVY'S LOGISTICS/ALVY'S TRUCKING, LLC",,,
373324,Alyz Oilfield Services LLC,,,
469,AMAX OIL & GAS INC,,,
472,AMBETT OIL CO INC,,,
41449,AMERADA HESS CORPORATION,,,
157633,AMERADA HESS CORPORATION,,,
41468,AMERADA PETROLEUM CORP,,,
41484,AMERADA PETROLEUM CORP,,,
41470,AMERADA PETROLEUM CORP,,,
326500,"AMEREDEV NEW MEXICO, LLC.",,,
372224,"AMEREDEV OPERATING, LLC",109,0,Yes
326626,"AMEREDEV OPERATING, LLC.",,,
525,AMERICAN COMETRA INC,,,
372991,American Energy Resources LLC,,,
191756,AMERICAN ENERGY SERVICES,,,
198982,AMERICAN EXPLORATION CO,,,
196690,AMERICAN FUELS CORPORATION,,,
566,AMERICAN GATHERING L.P.,,,
577,AMERICAN HUNTER EXPLOR LTD,,,
188294,AMERICAN INLAND RESOURCES COMPANY LLC,,,
196539,AMERICAN MANUFACTURING COMPANY OF TEXAS,,,
26368,AMERICAN NATIONAL PETROLEUM CO..,,,
598,AMERICAN PETROFINA CO OF TX,,,
602,AMERICAN PROCESSING,,,
235511,AMERICAN PRODUCTION SERVICES,,,
41618,AMERICAN QUASAR PET CO OF NM,,,
309069,"AMERICAN SAFETY SVCS,INC DBA AMERICAN PRODUCT",,,
41682,AMERICAN TRADING & PRODUCTION CORP,,,
41677,AMERICAN TRADING & PRODUCTION CORP,,,
228051,AMERICO ENERGY RESOURCES LLC,20,4,No
191525,AMERICULTURE INC,,,
186724,AMERIGAS EAGLE PROPANE LP,,,
41708,AMERIND OIL CO,,,
671,AMERIND OIL CO L P,,,
158898,"AMERISTATE EXPLORATION, L.L.C.",,,
328912,AMETHYST OILFIELD SERVICES LLC,,,
709,AMMEX PETROLEUM INC,,,
162558,"AMMONITE ENERGY TEXAS, INC",,,
734,AMOCO PIPELINE CO.,,,
138648,AMOCO PIPELINE INTERCORPORATE TRUCKING,,,
41923,AMOCO PRODUCTION CO,,,
41934,AMOCO PRODUCTION CO,,,
41891,AMOCO PRODUCTION CO,,,
41889,AMOCO PRODUCTION CO,,,
41912,AMOCO PRODUCTION CO,,,
41956,AMOCO PRODUCTION CO,,,
140502,AMOCO PRODUCTION CO,,,
145925,AMOCO PRODUCTION CO-GAS PURCH.,,,
211424,AMOCO PRODUCTION COMPANY,,,
149161,AMPOLEX USA INC.,,,
785,AMTEX ENERGY INC,7,1,Yes
282159,ANA CORTEZ DBA SOUTHWEST EAGLES TRUCKING,,,
294845,ANADARKO E&P COMPANY LP,,,
295943,ANADARKO E&P ONSHORE LLC,,,
42018,ANADARKO PET CORP & TEXACO PROD INC,,,
806,ANADARKO PET. CORP.,,,
817,ANADARKO PETROLEUM CORP,,,
42025,ANADARKO PETROLEUM CORP,,,
42082,ANADARKO PRODUCTION CO,,,
2969,"ANDERSON OIL LTD.,LLP",3,0,Yes
199064,ANDERSON PRICHARD,,,
370065,ANDREA VALDIVIEZ DBA KLM TRUCKING SERVICES,,,
259261,"ANDREWS TRUCKING, INC.",,,
851,ANGEL ENERGY,,,
258915,ANGEL PEAK MINISTRIES,,,
256556,"ANGELINA WELL SERVICE, INC.",,,
297769,ANNA GRAJEDA DBA GRAJEDA'S TRUCKING,,,
146906,ANSCHUTZ EXPLORATION CORPORATION,1,0,Yes
370131,"ANSCHUTZ OIL COMPANY, LLC",,,
123139,ANSON GAS CORPORATION,,,
295796,ANTELMO CARRILLO DBA GAC TRUCKING,,,
329663,"Antelope Water New Mexico Operating , LLC",,,
330069,"Anthem Water Solutions, LLC",,,
152031,APACHE CANYON TRAILS,,,
42614,APACHE CORP,,,
15422,APACHE CORP,,,
42629,APACHE CORPORATION,,,
42632,APACHE CORPORATION,,,
73368,APACHE CORPORATION,,,
873,APACHE CORPORATION,2973,7,Yes
238427,APACHE CORPORATION,,,
286812,APACHE CORPORATION,,,
281788,APACHE CORPORATION,,,
93661,APACHE CORPORATION,,,
9761,APACHE ENERGY RESOURCES CORP,,,
370604,APEX DISPOSAL SERVICES LLC,,,
199108,APEXCO INC,,,
924,APOLLO ENERGY INC,,,
42759,APOLLO ENERGY INC,,,
248192,"APOLLO ENERGY, L.P.",,,
933,APOLLO OIL CO,,,
248343,"APPROACH OPERATING, LLC",,,
373582,"Aqua Terra Permian, LLC",,,
285064,"AQUARIUS SERVICES, LLC",,,
370099,"AR SERVICES, LLC",,,
941,ARAHO INC,,,
955,ARAPAHO OIL & GAS INC,,,
30253,ARAPAHOE DRILLING CO,,,
244197,"ARAPAHOE OILFIELD SERVICES, LLC",,,
370906,"ARB MIDSTREAM, LLC",,,
199110,ARBUSTO ENERGY,,,
226719,ARCADIS,,,
329073,"Arcadis U.S., Inc",,,
42911,ARCH PETROLEUM INC,,,
962,ARCH PETROLEUM INC,,,
986,ARCO OIL & GAS CO,,,
30271,ARCO OIL & GAS CO,,,
990,ARCO PERMIAN,,,
186786,ARCO PERMIAN,,,
142384,ARCO PIPE LINE COMPANY,,,
146100,ARCO PIPELINE CO,,,
1009,ARCO PIPELINE CO,,,
372742,ARENA ENERGY LLC,,,
220420,"ARENA RESOURCES, INC",,,
1023,ARGEE OIL CO,,,
300818,ARIAT OIL FIELD SERVICES LLC,,,
280839,ARISTEO LUNA DBA LION KING TRANSPORT,,,
165290,ARKLAND PRODUCING CO INC,,,
1047,ARLEN DICKSON,,,
1056,ARLEN L EDGAR,,,
329179,"ARM Midstream Management, LLC",,,
1092,ARMSTRONG ENERGY CORP,125,13,No
167733,ARMSTRONG ENERGY CORPORATION,,,
187940,AROC (TEXAS) INC,,,
300097,"ARP PRODUCTION COMPANY, LLC",,,
144229,ARROW EXPLORATION COMPANY,,,
43386,ARROW GAS COMPANY,,,
1120,ARROWHEAD OIL CORP,,,
34306,ARROWHEAD OPERATING INC.,,,
233072,ARSENAL OPERATING,,,
291402,"ART'S HOT OIL SERVICES, LLC",,,
195329,ARTESIA AERATION LLC,,,
253738,ARVEST BANK,,,
325830,"ASCENT ENERGY, LLC.",91,1,Yes
371724,ASDRUBAL GARCIA LIMA DBA AGL OILFIELD SERVICE,,,
149538,ASHER ENTERPRISES LTD. CO.,2,1,Yes
1163,ASHER OIL CO,,,
1174,ASHER RESOURCES,,,
312278,ASHFORD ENERGY SERVICES LLC,,,
1189,ASHLAND CHEMICAL COMPANY,,,
1191,ASHLAND OIL AND REFINING COMPANY,,,
294116,ASHLEY ENERGY SVC LLC/ON THE MARK SVCS,,,
1202,ASHMUN & HILLIARD,,,
167956,"ASPEN EXPLORATION, INC.",,,
10701,ASPEN OIL INC,,,
167666,ASPEN OIL INC.,,,
217598,ASPEN OPERATING COMPANY LLC,5,2,Yes
133862,ASPEN PUMPING SERVICE,,,
304424,"ASSOCIATED ENERGY SERVICES, LP",,,
264882,"ASTOCO OILFIELD SERVICES, LLC",,,
43637,ASTON & FAIR INCORPORATED,,,
197692,ASTRO-TEX OIL CORPORATION,,,
197702,ASTRO-TEX OIL CORPORATION OF NEW MEXICO,,,
160186,ATASCA RESOURCES INC,,,
329585,ATC Group Services LLC,,,
267119,"ATG ENTERPRISES, INC.",,,
249740,"ATLANTIC OPERATING, INC.",1,0,Yes
43851,ATLANTIC REFINING COMPANY,,,
192100,ATLANTIC RICHFIELD,,,
43955,ATLANTIC RICHFIELD CO,,,
43924,ATLANTIC RICHFIELD CO,,,
43910,ATLANTIC RICHFIELD CO,,,
1271,ATLANTIC RICHFIELD CO,,,
43908,ATLANTIC RICHFIELD CO,,,
43933,ATLANTIC RICHFIELD CO,,,
1280,ATLANTIC RICHFIELD COMPANY,,,
65355,ATOFINA PETROCHEMICALS/EXXON CORP.,,,
371356,"ATOKA OPERATING, INC.",,,
373362,"Auburn Operating Company, LLC",,,
327079,"AUBURN OPERATING COMPANY, LLC.",,,
372199,"AUSTIN PROPERTIES & LOGISTICS, LLC",,,
187376,AUSTRA-TEX OIL COMPANY,,,
44138,AUSTRAL OIL CO INC,,,
1329,AUTRY C STEPHENS,,,
281454,"AUXILIARY ENERGY SERVICES, LLC",,,
199207,AVANCE OIL & GAS CO INC,,,
1332,AVON ENERGY CORP,,,
1340,AVRA OIL CO,3,3,No
328805,"AWR Disposal, LLC",,,
247016,AXIS ENERGY CORPORATION,,,
328618,AY TRUCKING INC.,,,
1400,AZTEC OIL AND GAS,,,
191362,AZTEC WELL SERVICING CO,,,
1425,B & A OPERATING CO,,,
370388,"B & B VAC SERVICES, INC.",,,
371213,B & E ENTERPRISES LLC,,,
44253,B & E INC,,,
1431,B & E INC,,,
44271,B & E INC,,,
197410,B & H CONSTRUCTION,,,
1443,B & W OIL CO,,,
1466,B BERNARD LANKFORD,,,
232800,B C OPERATING INCORPORATED,,,
243183,B CHARLES ROGERS & COMPANY,,,
1477,B E FRIZZEL,,,
1498,B H KEYES & M N KEYES T A,,,
30367,B M L INC,,,
1513,B N MUNCY JR,,,
194942,B QUICK INC,,,
1542,B W P INC,,,
195332,B&K LANDFARM,,,
329442,"B&L WHITE ENTERPRISES, INC",,,
275036,"B&R TRUCKING, INC.",,,
373310,B.T.S LLC,,,
270085,"B2J, L.L.C.",3,0,Yes
1559,BABER WELL SERVICING CO,,,
1575,BACA PETROLEUM CORP,,,
