County,State,Year,Population,Population Change,Total Population Change,Births,Deaths,International Immigration,Net Domestic Migration
Anderson County, Texas,1970,27789,,,,,,
Anderson County, Texas,1971,29500,6.1571,1711,,,,
Anderson County, Texas,1972,30700,4.0678,1200,,,,
Anderson County, Texas,1973,30600,-0.3257,-100,,,,
Anderson County, Texas,1974,30900,0.9804,300,,,,
Anderson County, Texas,1975,32100,3.8835,1200,,,,
Anderson County, Texas,1976,33500,4.3614,1400,,,,
Anderson County, Texas,1977,34800,3.8806,1300,,,,
Anderson County, Texas,1978,36500,4.8851,1700,,,,
Anderson County, Texas,1979,38000,4.1096,1500,,,,
Anderson County, Texas,1980,38381,1.0026,381,,,,
Anderson County, Texas,1981,40730,6.1202,2349,,,,
Anderson County, Texas,1982,41873,2.8063,1143,626,423,,
Anderson County, Texas,1983,44378,5.9824,2505,644,448,,
Anderson County, Texas,1984,45215,1.8861,837,639,442,,
Anderson County, Texas,1985,46020,1.7804,805,679,439,,
Anderson County, Texas,1986,46495,1.0322,475,674,436,,
Anderson County, Texas,1987,46256,-0.514,-239,634,457,,
Anderson County, Texas,1988,48084,3.9519,1828,652,449,,
Anderson County, Texas,1989,48602,1.0773,518,649,439,,
Anderson County, Texas,1990,48024,-1.1893,-578,470,335,,
Anderson County, Texas,1991,48284,0.5414,260,630,468,,
Anderson County, Texas,1992,48618,0.6917,334,593,438,26,-84
Anderson County, Texas,1993,49763,2.3551,1145,618,379,48,621
Anderson County, Texas,1994,50729,1.9412,966,585,503,40,580
Anderson County, Texas,1995,53094,4.662,2365,648,480,29,1828
Anderson County, Texas,1996,53510,0.7835,416,557,505,55,59
Anderson County, Texas,1997,54051,1.011,541,656,538,81,115
Anderson County, Texas,1998,54290,0.4422,239,630,545,69,-140
Anderson County, Texas,1999,54876,1.0794,586,673,547,75,-101
Anderson County, Texas,2000,55109,0.4246,233,,,,
Anderson County, Texas,2001,54263,-1.5351,-846,648,595,71,-1050
Anderson County, Texas,2002,54740,0.8791,477,700,591,66,137
Anderson County, Texas,2003,56068,2.426,1328,640,592,64,1099
Anderson County, Texas,2004,56245,0.3157,177,660,613,57,-57
Anderson County, Texas,2005,56873,1.1165,628,666,567,61,348
Anderson County, Texas,2006,57386,0.902,513,659,601,59,272
Anderson County, Texas,2007,57870,0.8434,484,679,595,53,239
Anderson County, Texas,2008,57963,0.1607,93,643,595,51,-151
Anderson County, Texas,2009,58410,0.7712,447,656,636,54,195
Anderson County, Texas,2010,58458,0.0822,48,149,104,2,-3
Anderson County, Texas,2011,58394,-0.1095,-64,595,642,-10,-39
Anderson County, Texas,2012,58059,-0.5737,-335,565,625,5,-279
Anderson County, Texas,2013,57960,-0.1705,-99,583,616,31,-86
Anderson County, Texas,2014,57829,-0.226,-131,589,702,47,-51
Anderson County, Texas,2015,57639,-0.3286,-190,582,613,58,-215
Anderson County, Texas,2016,57526,-0.196,-113,614,673,52,-105
Anderson County, Texas,2017,58175,1.1282,649,608,677,44,668
Anderson County, Texas,2018,57974,-0.3455,-201,587,806,32,-12
Anderson County, Texas,2019,57735,-0.4123,-239,588,754,32,-104
Andrews County, Texas,1970,10372,,,,,,
Andrews County, Texas,1971,11000,6.0548,628,,,,
Andrews County, Texas,1972,11100,0.9091,100,,,,
Andrews County, Texas,1973,10600,-4.5045,-500,,,,
Andrews County, Texas,1974,10800,1.8868,200,,,,
Andrews County, Texas,1975,11700,8.3333,900,,,,
Andrews County, Texas,1976,11900,1.7094,200,,,,
Andrews County, Texas,1977,12000,0.8403,100,,,,
Andrews County, Texas,1978,12400,3.3333,400,,,,
Andrews County, Texas,1979,12800,3.2258,400,,,,
Andrews County, Texas,1980,13323,4.0859,523,,,,
Andrews County, Texas,1981,14076,5.6519,753,,,,
Andrews County, Texas,1982,15142,7.5732,1066,363,103,,
Andrews County, Texas,1983,15742,3.9625,600,359,95,,
Andrews County, Texas,1984,15752,0.0635,10,358,96,,
Andrews County, Texas,1985,16345,3.7646,593,373,92,,
Andrews County, Texas,1986,16509,1.0034,164,375,85,,
Andrews County, Texas,1987,15329,-7.1476,-1180,326,88,,
Andrews County, Texas,1988,14968,-2.355,-361,296,95,,
Andrews County, Texas,1989,14476,-3.287,-492,294,101,,
Andrews County, Texas,1990,14338,-0.9533,-138,208,77,,
Andrews County, Texas,1991,14404,0.4603,66,249,101,,
