County,DC,CC
Anderson,6,1
Andrews,8,3
Angelina,6,5
Aransas,4,7
Archer,9,9
Armstrong,10,11
Atascosa,1,13
Austin,3,15
Bailey,8A,17
Bandera,1,19
Bastrop,1,21
Baylor,9,23
Bee,2,25
Bell,1,27
Bexar,1,29
Blanco,1,31
Borden,8A,33
Bosque,5,35
Bowie,6,37
Brazoria,3,39
Brazos,3,41
Brewster,8,43
Briscoe,10,45
Brooks,4,47
Brown,7B,49
Burleson,3,51
Burnet,1,53
Caldwell,1,55
Calhoun,2,57
Callahan,7B,59
Cameron,4,61
Camp,6,63
Carson,10,65
Cass,6,67
Castro,10,69
Chambers,3,71
Cherokee,6,73
Childress,10,75
Clay,9,77
Cochran,8A,79
Coke,7C,81
Coleman,7B,83
Collin,5,85
Collingsworth,10,87
Colorado,3,89
Comal,1,91
Comanche,7B,93
Concho,7C,95
Cooke,9,97
Coryell,7B,99
Cottle,8A,101
Crane,8,103
Crockett,7C,105
Crosby,8A,107
Culberson,8,109
Dallam,10,111
Dallas,5,113
Dawson,8A,115
Deaf Smith,10,117
Delta,5,119
Denton,9,121
DeWitt,2,123
Dickens,8A,125
Dimmit,1,127
Donley,10,129
Duval,4,131
Eastland,7B,133
Ector,8,135
Edwards,1,137
Ellis,5,139
El Paso,8,141
Erath,7B,143
Falls,5,145
Fannin,5,147
Fayette,3,149
Fisher,7B,151
Floyd,8A,153
Foard,9,155
Fort Bend,3,157
Franklin,6,159
Freestone,5,161
Frio,1,163
Gaines,8A,165
Galveston,3,167
Garza,8A,169
Gillespie ,1, 171
Glasscock,8, 173
Goliad,2, 175
Gonzales,1, 177
Gray,10, 179
Grayson,9, 181
Gregg,6, 183
Grimes,3, 185
Guadalupe,1, 187
Hale,8A, 189
Hall,10, 191
Hamilton,7B, 193
Hansford,10, 195
Hardeman,9, 197
Hardin,3, 199
Harris,3, 201
Harrison,6, 203
Hartley,10, 205
Haskell,7B, 207
Hays,1, 209
Hemphill,10, 211
Henderson,5, 213
Hidalgo,4, 215
Hill,5, 217
Hockley,8A, 219
Hood,7B, 221
Hopkins,5, 223
Houston,6, 225
Howard,8, 227
Hudspeth,8, 229
Hunt,5, 231
Hutchinson,10, 233
Irion,7C, 235
Jack,9, 237
Jackson,2, 239
Jasper,3, 241
Jeff Davis,8, 243
Jefferson,3, 245
Jim Hogg,4, 247
Jim Wells,4, 249
Johnson,5, 251
Jones,7B, 253
Karnes,2, 255
Kaufman,5, 257
Kendall,1, 259
Kenedy,4, 261
Kent,8A, 263
Kerr,1, 265
Kimble,7C, 267
King,8A, 269
Kinney,1, 271
Kleberg,4, 273
Knox,9,275
Lamar,5, 277
Lamb,8A, 279
Lampasas,7B, 281
La Salle,1, 283
Lavaca,2, 285
Lee,3, 287
Leon,5, 289
Liberty,3, 291
Limestone,5, 293
Lipscomb,10, 295
Live Oak,2, 297
Llano,1, 299
Loving,8, 301
Lubbock,8A, 303
Lynn,8A, 305
McCulloch,7C, 307
McLennan,5, 309
McMullen,1, 311
Madison,3, 313
Marion,6, 315
Martin,8, 317
Mason,1, 319
Matagorda,3, 321
Maverick,1, 323
Medina,1, 325
Menard,7C, 327
Midland,8, 329
Milam,1, 331
Mills,7B, 333
Mitchell,8, 335
Montague,9, 337
Montgomery,3, 339
Moore,10, 341
Morris,6, 343
Motley,8A,345
Nacogdoches,6, 347
Navarro,5, 349
Newton,3, 351
Nolan,7B, 353
Nueces,4, 355
Ochiltree,10, 357
Oldham,10, 359
Orange,3, 361
Palo Pinto,7B, 363
Panola,6, 365
Parker,7B, 367
Parmer,10, 369
Pecos,8, 371
Polk,3, 373
Potter,10, 375
Presidio,8, 377
Rains,5, 379
Randall,10, 381
Reagan,7C, 383
Real,1, 385
Red River,6, 387
Reeves,8, 389
Refugio,2, 391
Roberts,10, 393
Robertson,5, 395
Rockwall,5, 397
Runnels,7C, 399
Rusk,6, 401
Sabine,6, 403
San Augustine,6, 405
San Jacinto,3, 407
San Patricio,4, 409
San Saba,7B, 411
Schleicher,7C, 413
Scurry,8A, 415
Schackleford,7B, 417
Shelby,6, 419
Sherman,10, 421
Smith,6, 423
Somervell,7B, 425
Starr,4, 427
Stephens,7B, 429
Sterling,8, 431
Stonewall,7B, 433
Sutton,7C, 435
Swisher,10, 437
Tarrant,5, 439
Taylor,7B, 441
Terrell,7C, 443
Terry,8A, 445
Throckmorton,7B, 447
Titus,6, 449
Tom Green,7C, 451
Travis,1, 453
Trinity,3, 455
Tyler,3, 457
Upshur,6, 459
Upton,7C, 461
Uvalde,1, 463
Val Verde,1, 465
Van Zandt,5, 467
Victoria,2, 469
Walker,3, 471
Waller,3, 473
Ward,8, 475
Washington,3, 477
Webb,4, 479
Wharton,3, 481
Wheeler,10, 483
Wichita,9, 485
Wilbarger,9, 487
Willacy,4, 489
Williamson,1, 491
Wilson,1, 493
Winkler,8, 495
Wise,9, 497
Wood,6, 499
Yoakum,8A, 501
Young,9, 503
Zapata,4, 505
Zavala,1, 507
