date,wti-price,ng-price,interest-rate,interest-rate-change
1/1/93,19.03,1.88,3.02,
2/1/93,20.09,1.69,3.03,
3/1/93,20.32,2.18,3.07,
4/1/93,20.25,2.35,2.96,
5/1/93,19.95,2.17,3,
6/1/93,19.09,1.97,3.04,
7/1/93,17.89,2.06,3.06,
8/1/93,18.01,2.26,3.03,
9/1/93,17.5,2.27,3.09,
10/1/93,18.15,2.02,2.99,
11/1/93,16.61,2.26,3.02,
12/1/93,14.51,2.34,2.96,
1/1/94,15.03,2.34,3.05,0.983606557
2/1/94,14.78,2.71,3.25,6.769230769
3/1/94,14.68,2.21,3.34,8.083832335
4/1/94,16.42,2.04,3.56,16.85393258
5/1/94,17.89,1.92,4.01,25.18703242
6/1/94,19.06,1.9,4.25,28.47058824
7/1/94,19.65,1.96,4.26,28.16901408
8/1/94,18.38,1.66,4.47,32.2147651
9/1/94,17.45,1.49,4.73,34.67230444
10/1/94,17.72,1.51,4.76,37.18487395
11/1/94,18.07,1.58,5.29,42.91115312
12/1/94,17.16,1.72,5.45,45.68807339
1/1/95,18.04,1.51,5.53,44.84629295
2/1/95,18.57,1.58,5.92,45.10135135
3/1/95,18.54,1.54,5.98,44.14715719
4/1/95,19.9,1.62,6.05,41.15702479
5/1/95,19.74,1.64,6.01,33.27787022
6/1/95,18.45,1.62,6,29.16666667
7/1/95,17.33,1.44,5.85,27.17948718
8/1/95,18.02,1.56,5.74,22.12543554
9/1/95,18.23,1.64,5.8,18.44827586
10/1/95,17.43,1.77,5.76,17.36111111
11/1/95,17.99,2.04,5.8,8.793103448
12/1/95,19.03,2.71,5.6,2.678571429
1/1/96,18.85,2.93,5.56,0.539568345
2/1/96,19.09,4.4,5.22,-13.40996169
3/1/96,21.33,2.95,5.31,-12.61770245
4/1/96,23.5,2.23,5.22,-15.90038314
5/1/96,21.17,2.24,5.24,-14.69465649
6/1/96,20.42,2.49,5.27,-13.85199241
7/1/96,21.3,2.48,5.4,-8.333333333
8/1/96,21.9,2.03,5.22,-9.961685824
9/1/96,23.97,1.84,5.3,-9.433962264
10/1/96,24.88,2.37,5.24,-9.923664122
11/1/96,23.71,3.03,5.31,-9.22787194
12/1/96,25.23,3.82,5.29,-5.860113422
1/1/97,25.13,3.31,5.25,-5.904761905
2/1/97,22.18,2.22,5.19,-0.578034682
3/1/97,20.97,1.89,5.39,1.484230056
4/1/97,19.7,2.03,5.51,5.263157895
5/1/97,20.82,2.24,5.5,4.727272727
6/1/97,19.26,2.2,5.56,5.215827338
7/1/97,19.66,2.19,5.52,2.173913043
8/1/97,19.95,2.47,5.54,5.776173285
9/1/97,19.8,2.84,5.54,4.332129964
10/1/97,21.33,3.04,5.5,4.727272727
11/1/97,20.19,3.02,5.52,3.804347826
12/1/97,18.33,2.33,5.5,3.818181818
1/1/98,16.72,2.1,5.56,5.575539568
2/1/98,16.06,2.22,5.51,5.807622505
3/1/98,15.12,2.23,5.49,1.821493625
4/1/98,15.35,2.42,5.45,-1.100917431
5/1/98,14.91,2.14,5.49,-0.182149362
6/1/98,13.72,2.17,5.56,0
7/1/98,14.17,2.17,5.54,0.36101083
8/1/98,13.47,1.85,5.55,0.18018018
9/1/98,15.03,2.01,5.51,-0.54446461
10/1/98,14.46,1.89,5.07,-8.481262327
11/1/98,13,2.1,4.83,-14.28571429
12/1/98,11.35,1.74,4.68,-17.52136752
1/1/99,12.51,1.86,4.63,-20.08639309
2/1/99,12.01,1.77,4.76,-15.75630252
3/1/99,14.68,1.79,4.81,-14.13721414
4/1/99,17.31,2.15,4.74,-14.97890295
5/1/99,17.72,2.25,4.74,-15.82278481
6/1/99,17.92,2.3,4.76,-16.80672269
7/1/99,20.1,2.31,4.99,-11.02204409
8/1/99,21.28,2.79,5.07,-9.467455621
9/1/99,23.8,2.54,5.22,-5.555555556
10/1/99,22.69,2.72,5.2,2.5
11/1/99,25,2.36,5.42,10.88560886
12/1/99,26.1,2.36,5.3,11.69811321
1/1/00,27.26,2.42,5.45,15.04587156
2/1/00,29.37,2.65,5.73,16.92844677
3/1/00,29.84,2.79,5.85,17.77777778
4/1/00,25.72,3.03,6.02,21.26245847
5/1/00,28.79,3.58,6.27,24.40191388
6/1/00,31.82,4.28,6.53,27.10566616
7/1/00,29.7,3.96,6.54,23.70030581
8/1/00,31.26,4.41,6.5,22
9/1/00,33.88,5.06,6.52,19.93865031
10/1/00,33.11,5.02,6.51,20.12288786
11/1/00,34.42,5.55,6.51,16.74347158
12/1/00,28.44,8.95,6.4,17.1875
1/1/01,29.59,8.17,5.98,8.862876254
